CustomerID,Age,Gender,Region,InsuranceType,PolicyTenure,PremiumAmount,Claimed,ClaimAmount
1,56,Male,North,Property,5,14085.6,0,0.0
2,69,Male,South,Life,3,11022.6,0,0.0
3,46,Male,West,Property,29,4750.67,0,0.0
4,32,Female,North,Vehicle,28,14235.89,0,0.0
5,60,Male,West,Health,29,24650.46,0,0.0
6,25,Male,South,Property,9,18138.42,0,0.0
7,38,Male,North,Property,20,14922.96,0,0.0
8,56,Female,East,Property,6,13948.44,0,0.0
9,36,Female,South,Property,18,15089.86,0,0.0
10,40,Male,East,Health,6,17188.48,1,44509.46
11,28,Male,West,Health,19,10276.75,1,14382.98
12,28,Male,West,Vehicle,28,19457.29,0,0.0
13,41,Male,South,Health,12,17861.53,0,0.0
14,53,Female,West,Property,25,17872.74,1,43599.71
15,57,Female,East,Vehicle,11,16753.9,1,47590.91
16,41,Female,North,Vehicle,2,15078.47,0,0.0
17,20,Female,North,Vehicle,15,17691.44,0,0.0
18,39,Male,North,Property,12,17367.26,0,0.0
19,19,Male,South,Life,12,13583.84,0,0.0
20,41,Male,West,Property,9,12705.59,0,0.0
21,61,Female,East,Health,21,15407.43,0,0.0
22,47,Male,West,Health,24,21196.08,0,0.0
23,55,Female,West,Property,2,10043.57,0,0.0
24,19,Female,West,Property,22,9129.9,1,18953.49
25,38,Male,North,Vehicle,3,15659.04,0,0.0
26,50,Male,East,Property,12,15203.55,0,0.0
27,29,Male,East,Vehicle,28,15693.37,0,0.0
28,39,Female,West,Health,26,15975.81,0,0.0
29,61,Male,North,Vehicle,16,14107.19,1,32678.69
30,42,Female,North,Property,21,20959.45,0,0.0
31,66,Male,East,Health,28,8596.38,0,0.0
32,44,Female,North,Life,24,11686.01,1,29199.64
33,59,Female,North,Vehicle,26,14586.98,0,0.0
34,45,Male,North,Health,1,8427.24,1,22138.86
35,33,Female,South,Vehicle,21,14296.58,0,0.0
36,32,Female,West,Health,3,21645.88,0,0.0
37,64,Male,East,Health,20,15083.55,0,0.0
38,68,Female,East,Vehicle,2,15922.8,0,0.0
39,61,Male,South,Life,9,9959.34,1,14828.14
40,69,Female,West,Health,19,12534.55,1,6671.38
41,20,Male,East,Health,15,13499.21,0,0.0
42,54,Male,North,Health,18,13729.14,0,0.0
43,68,Female,East,Life,26,20126.58,1,27255.8
44,24,Female,North,Life,11,17230.76,1,36459.21
45,38,Female,South,Property,25,10554.17,0,0.0
46,26,Female,North,Vehicle,23,15986.02,0,0.0
47,56,Female,East,Life,16,16992.89,0,0.0
48,35,Male,East,Vehicle,22,19560.6,1,29175.62
49,21,Female,East,Property,17,21322.16,0,0.0
50,42,Male,South,Vehicle,5,10939.62,0,0.0
51,31,Male,South,Life,12,11756.57,1,27670.9
52,67,Female,West,Vehicle,11,9969.69,0,0.0
53,26,Male,East,Life,15,14063.92,0,0.0
54,43,Male,North,Vehicle,27,16865.43,0,0.0
55,19,Male,South,Life,3,18949.34,0,0.0
56,37,Male,East,Life,1,14696.2,0,0.0
57,45,Female,East,Vehicle,20,13720.61,0,0.0
58,64,Male,South,Property,29,15607.03,0,0.0
59,24,Female,West,Health,16,11659.43,0,0.0
60,61,Female,South,Property,2,23358.15,1,28230.44
61,25,Male,South,Vehicle,2,8569.36,1,18144.33
62,64,Female,North,Property,3,15738.96,0,0.0
63,52,Female,North,Life,8,23094.42,0,0.0
64,31,Female,West,Health,24,15027.2,0,0.0
65,34,Male,East,Vehicle,28,14239.84,0,0.0
66,53,Female,South,Vehicle,15,13570.22,0,0.0
67,67,Female,West,Vehicle,7,14278.43,0,0.0
68,57,Female,North,Health,6,20491.39,0,0.0
69,21,Male,South,Life,9,6152.55,0,0.0
70,19,Female,East,Vehicle,20,21133.73,0,0.0
71,23,Male,North,Property,28,9304.17,0,0.0
72,59,Male,North,Vehicle,1,13933.39,0,0.0
73,21,Male,North,Vehicle,8,13283.02,0,0.0
74,46,Male,West,Vehicle,23,17354.21,0,0.0
75,35,Male,East,Vehicle,23,8607.5,1,8881.73
